Quantity,Designators,Value,Device,Package
1,?1,,PIC10F320,PIC10F320
1,AT1,,ATTINY-85-PU,ATTINY-85-PU
2,"LED1, LED2",,LED ⌀3.0x4.5/2.54mm Clear,LED-THT-P254D300H450-CLEAR
4,"R1, R2, R3, R4",10k,Resistor 0402 (01005),RESC0402 (01005)
1,S1,,,
1,USB_1,,USB-2.0-A,USB-A-2.0
